date,temperature_2m,relative_humidity_2m,apparent_temperature,surface_pressure,wind_direction_10m,wind_speed_10m,soil_temperature_0cm,soil_moisture_0_to_1cm,pressure_msl,showers,rain,dew_point_2m,snowfall,snow_depth,cloud_cover
2022-11-13 14:00:00+00:00,8.2545,85.0,5.5379143,1013.57324,126.15828,11.592894,7.9045,0.265,1028.8,0.0,0.0,5.881258,0.0,0.0,25.0
2022-11-13 15:00:00+00:00,6.6045003,92.0,4.093993,1013.28735,130.36446,9.449572,5.8045,0.265,1028.6,0.0,0.0,5.397237,0.0,0.0,33.0
2022-11-13 16:00:00+00:00,5.4045,95.0,2.9660616,1013.2218,136.8476,7.8954163,4.9045,0.266,1028.6,0.0,0.0,4.6675763,0.0,0.0,15.0
2022-11-13 17:00:00+00:00,4.8045,96.0,2.3840542,1013.0905,139.08571,7.145796,4.5545,0.266,1028.5,0.0,0.0,4.220488,0.0,0.0,3.0
2022-11-13 18:00:00+00:00,4.4545,97.0,2.0453644,1012.87415,122.00535,6.792466,4.3545003,0.266,1028.3,0.0,0.0,4.0197115,0.0,0.0,23.0
2022-11-13 19:00:00+00:00,4.5045004,97.0,2.1789856,1012.483,113.62939,6.28713,4.2545004,0.267,1027.9,0.0,0.0,4.069536,0.0,0.0,16.0
2022-11-13 20:00:00+00:00,4.5545,97.0,1.7777524,1012.1903,107.74477,9.449572,4.3045,0.267,1027.6,0.0,0.0,4.11936,0.0,0.0,63.0
2022-11-13 21:00:00+00:00,4.3045,97.0,1.458416,1012.37335,124.286934,9.585739,3.9545,0.267,1027.8,0.0,0.0,3.870237,0.0,0.0,43.0
2022-11-13 22:00:00+00:00,3.9545,98.0,0.9440236,1012.25574,133.60289,10.44,3.8545,0.267,1027.7,0.0,0.0,3.66711,0.0,0.0,59.0
2022-11-13 23:00:00+00:00,3.5045,100.0,0.12733078,1011.73816,137.29063,12.738099,4.2545004,0.267,1027.2,0.0,0.0,3.5044997,0.0,0.0,100.0
2022-11-14 00:00:00+00:00,3.3545,100.0,0.11557627,1011.43445,126.15828,11.592894,4.1545,0.267,1026.9,0.0,0.0,3.3544998,0.0,0.0,100.0
2022-11-14 01:00:00+00:00,3.4045,100.0,-0.036591053,1011.0433,117.979385,13.0447235,4.0045004,0.267,1026.5,0.0,0.0,3.4045002,0.0,0.0,100.0
2022-11-14 02:00:00+00:00,3.4045,100.0,-0.012532234,1010.3539,116.56499,12.879752,4.0545,0.267,1025.8,0.0,0.0,3.4045002,0.0,0.0,100.0
2022-11-14 03:00:00+00:00,3.6545,100.0,0.3506632,1009.67834,112.109505,12.43434,4.2545004,0.269,1025.1,0.0,0.0,3.6545002,0.0,0.0,100.0
