Station ID,Datetime,Kierunek wiatru (czujnik),Temperatura powietrza (oficjalna),Temperatura gruntu (czujnik),Suma opadu dobowego,Suma opadu godzinowego,Suma opadu 10 minutowego,Średnia prędkość wiatru czujnik 10 minut,Prędkość maksymalna (czujnik),Największy poryw w okresie 10min ze stacji Synoptycznej,Wilgotność względna powietrza (czujnik),Zapas wody w śniegu (obserwator),Timespan,Is_irregular
351160424,2015-09-07 02:00:00,283.0,12.0,11.0,,,,7.0,12.0,13.0,83.0,,,False
351160424,2024-05-01 13:00:00,134.0,26.0,29.0,,0.0,,9.0,14.0,14.0,31.0,,4549620.0,True
351160424,2024-08-05 09:00:00,292.0,17.9,19.2,,0.0,0.0,4.4,8.8,9.0,75.0,,138000.0,True
351160424,2024-08-05 10:00:00,289.0,19.7,21.5,,0.0,0.0,4.7,10.4,10.0,63.0,,60.0,False
351160424,2024-08-05 12:00:00,308.0,20.2,21.2,,0.0,0.0,4.5,9.8,10.0,56.0,,120.0,False
351160424,2024-08-05 13:00:00,305.0,19.9,20.0,,0.0,0.0,4.1,8.5,9.0,57.0,,60.0,False
351160424,2024-08-05 15:00:00,311.0,20.9,21.1,,0.0,0.0,3.4,7.5,8.0,56.0,,120.0,False
351160424,2024-08-10 12:00:00,280.0,25.5,27.6,,0.0,0.0,5.2,9.5,10.0,52.0,,7020.0,True
351160424,2024-08-11 12:00:00,286.0,24.5,25.9,,0.0,0.0,4.9,9.6,10.0,55.0,,1440.0,True
351160424,2024-08-20 13:00:00,93.0,25.0,26.8,,0.0,0.0,3.0,8.1,8.0,54.0,,13020.0,True
351160424,2024-08-21 14:00:00,296.0,23.5,23.5,,0.0,0.0,5.0,10.9,11.0,62.0,,1500.0,True
351160424,2024-08-21 15:00:00,288.0,24.2,24.3,,0.0,0.0,4.6,9.6,10.0,54.0,,60.0,False
351160424,2024-08-21 16:00:00,296.0,23.2,22.5,,0.0,0.0,5.6,11.4,11.0,48.0,,60.0,False
351160424,2024-08-25 10:00:00,302.0,27.2,29.0,,0.0,0.0,4.1,9.0,9.0,57.0,,5400.0,True
351160424,2024-08-25 11:00:00,302.0,26.6,27.2,,0.0,0.0,4.4,9.6,10.0,58.0,,60.0,False
351160424,2024-08-25 12:00:00,314.0,26.0,27.4,,0.0,0.0,4.4,8.9,9.0,61.0,,60.0,False
351160424,2024-09-05 11:00:00,91.0,29.4,32.0,,0.0,0.0,7.2,11.5,12.0,39.0,,15780.0,True
351160424,2024-09-05 12:00:00,73.0,29.8,30.5,,0.0,0.0,7.2,10.5,12.0,37.0,,60.0,False
351160424,2024-09-06 14:00:00,118.0,29.0,30.8,,0.0,0.0,5.3,9.8,10.0,33.0,,1560.0,True
351160424,2024-09-07 12:00:00,104.0,30.3,33.0,,0.0,0.0,6.2,10.6,11.0,35.0,,1320.0,True
351160424,2024-09-09 06:00:00,147.0,21.8,21.1,0.0,0.0,0.0,7.8,11.1,13.0,61.0,,2520.0,True
351160424,2024-09-10 15:00:00,307.0,18.1,18.1,,0.0,0.0,2.9,7.9,8.0,76.0,,1980.0,True
351160424,2024-09-10 16:00:00,294.0,17.3,17.1,,0.0,0.0,3.4,7.5,8.0,78.0,,60.0,False
351160424,2024-09-13 08:00:00,319.0,10.0,9.7,,0.7,0.1,2.9,7.8,8.0,98.0,,3840.0,True
351160424,2024-09-13 09:00:00,333.0,10.0,9.8,,0.4,0.1,3.0,8.8,9.0,97.0,,60.0,False
351160424,2024-09-13 19:00:00,360.0,11.4,10.8,,0.4,0.1,4.1,7.6,9.0,98.0,,600.0,True
351160424,2024-09-13 20:00:00,355.0,11.6,11.0,,0.9,0.0,5.0,10.8,11.0,99.0,,60.0,False
351160424,2024-09-13 21:00:00,355.0,11.7,11.1,,0.5,0.0,4.7,10.6,11.0,99.0,,60.0,False
351160424,2024-09-13 22:00:00,351.0,11.8,11.2,,0.0,0.0,3.7,9.7,10.0,98.0,,60.0,False
351160424,2024-09-14 02:00:00,1.0,12.1,11.4,,0.0,0.0,4.1,8.8,9.0,98.0,,240.0,True
351160424,2024-09-14 06:00:00,355.0,13.1,12.5,18.8,0.2,0.0,4.8,11.0,11.0,98.0,,240.0,True
351160424,2024-09-14 07:00:00,353.0,13.4,12.9,,0.0,0.0,5.3,10.8,11.0,97.0,,60.0,False
351160424,2024-09-14 08:00:00,348.0,13.3,12.8,,0.0,0.0,4.5,9.7,11.0,96.0,,60.0,False
351160424,2024-09-14 10:00:00,351.0,14.1,13.7,,0.0,0.0,5.6,10.7,12.0,91.0,,120.0,False
351160424,2024-09-14 11:00:00,347.0,13.5,12.8,,0.0,0.0,5.0,11.0,11.0,96.0,,60.0,False
351160424,2024-09-14 12:00:00,347.0,13.7,12.9,,0.2,0.0,6.0,12.7,13.0,95.0,,60.0,False
351160424,2024-09-14 13:00:00,347.0,14.2,13.5,,0.0,0.0,6.0,12.8,13.0,92.0,,60.0,False
351160424,2024-09-14 15:00:00,341.0,14.0,13.5,,0.0,0.0,5.4,12.2,12.0,88.0,,120.0,False
351160424,2024-09-14 16:00:00,336.0,14.1,13.5,,0.0,0.0,5.9,12.8,13.0,86.0,,60.0,False
351160424,2024-09-14 17:00:00,349.0,14.4,13.6,,0.0,0.0,5.7,13.3,13.0,81.0,,60.0,False
351160424,2024-09-14 18:00:00,344.0,13.6,12.0,,1.1,0.0,5.2,11.3,11.0,87.0,,60.0,False
351160424,2024-09-14 19:00:00,342.0,12.9,11.4,,0.0,0.0,4.8,9.9,10.0,89.0,,60.0,False
351160424,2024-09-14 20:00:00,338.0,13.1,11.4,,0.4,0.0,5.3,12.4,12.0,87.0,,60.0,False
351160424,2024-09-14 21:00:00,341.0,14.0,13.0,,0.0,0.0,6.3,11.9,12.0,77.0,,60.0,False
351160424,2024-09-14 22:00:00,337.0,13.8,13.0,,0.0,0.0,5.4,10.4,10.0,76.0,,60.0,False
351160424,2024-09-14 23:00:00,336.0,13.2,12.4,,0.0,0.0,5.3,11.4,11.0,77.0,,60.0,False
351160424,2024-09-15 00:00:00,338.0,13.1,12.3,,0.0,0.0,4.9,12.0,12.0,77.0,,60.0,False
351160424,2024-09-15 01:00:00,336.0,12.1,10.6,,0.5,0.1,4.9,9.9,10.0,88.0,,60.0,False
351160424,2024-09-15 02:00:00,333.0,11.9,10.8,,0.8,0.8,5.2,13.2,13.0,92.0,,60.0,False
351160424,2024-09-15 03:00:00,344.0,11.9,10.9,,0.7,0.0,5.3,10.5,11.0,93.0,,60.0,False
351160424,2024-09-15 05:00:00,331.0,12.0,10.9,,0.3,0.2,5.2,12.1,12.0,92.0,,120.0,False
351160424,2024-09-15 06:00:00,338.0,12.1,11.2,4.3,0.3,0.1,5.1,10.7,11.0,95.0,,60.0,False
351160424,2024-09-15 08:00:00,341.0,12.8,12.2,,7.2,0.3,5.7,11.5,12.0,98.0,,120.0,False
351160424,2024-09-15 09:00:00,342.0,13.5,13.1,,1.1,0.0,4.5,9.5,10.0,98.0,,60.0,False
351160424,2024-09-15 10:00:00,344.0,13.9,13.5,,0.3,0.0,4.7,9.6,10.0,98.0,,60.0,False
351160424,2024-09-16 10:00:00,19.0,20.0,21.2,,0.0,0.0,5.0,9.8,10.0,81.0,,1440.0,True
351160424,2024-09-16 13:00:00,17.0,23.0,23.4,,0.0,0.0,4.4,9.0,9.0,64.0,,180.0,False
351160424,2024-09-19 14:00:00,75.0,21.1,22.0,,0.0,0.0,6.1,10.9,11.0,56.0,,4380.0,True
351160424,2024-09-20 13:00:00,90.0,22.9,23.5,,0.0,0.0,4.6,9.5,10.0,38.0,,1380.0,True
351160424,2024-09-25 11:00:00,207.0,20.8,22.9,,0.0,0.0,5.5,10.9,11.0,59.0,,7080.0,True
351160424,2024-09-27 08:00:00,235.0,19.3,19.6,,0.0,0.0,6.5,11.2,11.0,65.0,,2700.0,True
351160424,2024-09-27 09:00:00,224.0,19.8,20.6,,0.0,0.0,7.2,11.6,12.0,59.0,,60.0,False
351160424,2024-09-27 10:00:00,227.0,20.6,21.5,,0.0,0.0,8.4,13.2,13.0,54.0,,60.0,False
351160424,2024-09-27 11:00:00,219.0,20.7,21.0,,0.0,0.0,7.9,12.7,13.0,56.0,,60.0,False
351160424,2024-10-10 11:00:00,239.0,19.7,20.2,,0.0,0.0,6.9,13.3,13.0,64.0,,18720.0,True
351160424,2024-10-11 10:00:00,303.0,12.9,18.8,,0.0,0.0,3.5,7.6,8.0,61.0,,1380.0,True
351160424,2024-10-13 09:00:00,288.0,8.3,7.8,,2.0,0.2,7.3,13.6,14.0,90.0,,2820.0,True
351160424,2024-10-13 11:00:00,286.0,12.1,15.3,,0.0,0.0,7.0,11.6,12.0,64.0,,120.0,False
351160424,2024-10-13 12:00:00,276.0,12.0,12.5,,0.0,0.0,8.6,14.2,14.0,63.0,,60.0,False
351160424,2024-10-13 14:00:00,271.0,12.3,11.5,,0.0,0.0,10.8,15.8,16.0,57.0,,120.0,False
351160424,2024-10-13 15:00:00,269.0,11.3,10.6,,0.0,0.0,8.2,13.4,13.0,62.0,,60.0,False
351160424,2024-10-13 16:00:00,277.0,10.5,8.7,,0.0,0.0,7.1,13.6,14.0,69.0,,60.0,False
351160424,2024-10-13 20:00:00,273.0,11.1,10.3,,0.0,0.0,10.2,14.5,15.0,65.0,,240.0,True
351160424,2024-10-13 21:00:00,279.0,10.4,9.4,,0.0,0.0,8.9,13.8,14.0,70.0,,60.0,False
351160424,2024-10-13 22:00:00,280.0,10.6,9.8,,0.0,0.0,9.0,13.7,14.0,70.0,,60.0,False
351160424,2024-10-13 23:00:00,280.0,10.5,9.7,,0.0,0.0,8.0,12.8,13.0,72.0,,60.0,False
351160424,2024-10-14 01:00:00,282.0,10.1,9.3,,0.0,0.0,7.1,11.8,12.0,73.0,,120.0,False
351160424,2024-10-14 08:00:00,279.0,10.4,12.3,,0.0,0.0,6.2,9.3,11.0,70.0,,420.0,True
351160424,2024-11-01 09:00:00,281.0,13.5,14.1,,0.0,0.0,6.6,12.2,12.0,76.0,,25980.0,True
351160424,2024-11-01 22:00:00,289.0,11.5,10.8,,0.0,0.0,6.3,10.9,11.0,84.0,,780.0,True
351160424,2024-11-15 13:00:00,288.0,8.5,8.7,,0.0,0.0,5.0,9.7,10.0,75.0,,19620.0,True
351160424,2024-11-19 14:00:00,219.0,10.8,9.6,,0.0,0.0,8.1,13.8,14.0,72.0,,5820.0,True
351160424,2024-11-19 18:00:00,201.0,10.4,8.9,,0.0,0.0,8.4,12.9,13.0,76.0,,240.0,True
351160424,2024-11-19 20:00:00,196.0,10.2,9.1,,0.0,0.0,6.5,11.6,12.0,71.0,,120.0,False
351160424,2024-11-20 00:00:00,293.0,8.2,6.7,,0.6,0.6,5.9,12.2,12.0,84.0,,240.0,True
351160424,2024-11-20 02:00:00,285.0,4.4,3.5,,1.4,0.3,7.1,12.4,12.0,91.0,,120.0,False
351160424,2024-11-20 04:00:00,296.0,2.4,1.6,,0.9,0.1,5.2,10.5,11.0,91.0,,120.0,False
351160424,2024-11-20 07:00:00,293.0,2.3,1.7,,0.0,0.0,6.1,10.8,11.0,88.0,,180.0,False
351160424,2024-11-20 09:00:00,290.0,3.0,3.1,,0.0,0.0,5.9,10.4,12.0,83.0,,120.0,False
351160424,2024-11-20 10:00:00,287.0,3.6,4.3,,0.0,0.0,7.5,12.9,13.0,80.0,,60.0,False
351160424,2024-11-20 11:00:00,290.0,3.5,2.6,,0.1,0.0,7.8,12.8,13.0,82.0,,60.0,False
351160424,2024-11-21 04:00:00,288.0,1.8,0.6,,0.2,0.0,7.0,13.7,14.0,86.0,,1020.0,True
351160424,2024-11-21 05:00:00,291.0,1.4,-0.1,,0.0,0.0,5.8,11.0,11.0,82.0,,60.0,False
351160424,2024-11-21 08:00:00,286.0,1.6,1.5,,0.1,0.0,5.5,9.6,10.0,83.0,,180.0,False
351160424,2024-11-23 04:00:00,309.0,1.6,0.5,,0.2,0.0,4.1,8.6,9.0,86.0,,2640.0,True
351160424,2024-11-23 12:00:00,279.0,5.3,5.5,,0.0,0.0,7.6,13.5,14.0,60.0,,480.0,True
351160424,2024-11-23 13:00:00,291.0,4.9,4.7,,0.0,0.0,7.7,13.6,14.0,62.0,,60.0,False
351160424,2024-11-28 10:00:00,254.0,9.2,8.6,,0.0,0.0,7.3,12.6,13.0,60.0,,7020.0,True
351160424,2024-11-28 11:00:00,250.0,9.1,8.1,,0.0,0.0,8.4,12.9,13.0,58.0,,60.0,False
351160424,2024-11-28 14:00:00,263.0,7.3,5.4,,0.0,0.0,9.4,16.6,17.0,73.0,,180.0,False
351160424,2024-11-28 17:00:00,270.0,5.6,4.3,,0.3,0.0,8.5,13.8,14.0,88.0,,180.0,False
351160424,2024-11-28 20:00:00,289.0,5.4,4.6,,1.2,0.1,5.5,10.1,10.0,93.0,,180.0,False
351160424,2024-11-29 05:00:00,340.0,6.1,5.6,,0.0,0.0,4.3,8.7,9.0,91.0,,540.0,True
351160424,2024-11-29 07:00:00,340.0,6.0,5.1,,0.1,0.0,3.9,8.7,9.0,91.0,,120.0,False
351160424,2024-12-06 11:00:00,186.0,2.6,0.0,,2.3,0.2,9.3,15.6,16.0,83.0,,10320.0,True
351160424,2024-12-06 12:00:00,187.0,2.9,1.0,,1.4,0.1,8.2,12.7,13.0,84.0,,60.0,False
351160424,2024-12-13 16:00:00,138.0,2.1,1.4,,0.0,0.0,5.2,9.5,10.0,77.0,,10320.0,True
351160424,2024-12-15 03:00:00,295.0,2.2,1.5,,0.0,0.0,5.3,10.3,10.0,92.0,,2100.0,True
351160424,2024-12-15 04:00:00,283.0,2.2,1.6,,0.0,0.0,6.9,11.5,12.0,94.0,,60.0,False
351160424,2024-12-15 10:00:00,283.0,4.4,3.9,,0.0,0.0,7.4,11.6,12.0,87.0,,360.0,True
351160424,2024-12-15 11:00:00,285.0,4.7,4.5,,0.0,0.0,7.7,12.8,13.0,88.0,,60.0,False
351160424,2024-12-15 15:00:00,279.0,4.9,3.6,,0.0,0.0,7.4,12.3,12.0,86.0,,240.0,True
351160424,2024-12-15 21:00:00,272.0,5.9,4.4,,0.2,0.0,6.5,10.6,11.0,87.0,,360.0,True
351160424,2024-12-15 23:00:00,283.0,6.9,5.7,,0.0,0.0,8.4,14.0,14.0,86.0,,120.0,False
